group_type,group_key,group_name,kanji_list,kanji_count
radical,7,二 (に),"亜,井,云,五,互,些,二,亙,亘,于,亞,亟,亍,亖,亗,亝",16
radical,30,口 (くち),"唖,哀,咽,員,吋,右,嘘,唄,噂,営,可,嘉,嘩,咳,嚇,各,喝,叶,噛,喚,含,喜,器,吉,吃,喫,吸,叫,喬,吟,句,喰,君,啓,喧,古,呼,呉,吾,口,向,后,喉,号,合,告,唆,哉,咲,咋,司,史,嗣,叱,呪,周,召,哨,商,唱,嘗,嘱,唇,吹,善,噌,喪,唾,台,啄,只,叩,嘆,喋,吊,呈,哲,吐,唐,同,噸,呑,嚢,噺,否,品,吻,噴,呆,吠,哩,味,名,命,問,唯,吏,呂,和,叮,叨,叭,叺,吁,吽,呀,听,吭,吼,吮,吶,吩,吝,呎,咏,呵,咎,呟,呱,呷,呰,咒,呻,咀,呶,咄,咐,咆,哇,咢,咸,咥,咬,哄,哈,咨,咫,哂,咤,咾,咼,哘,哥,哦,唏,唔,哽,哮,哭,哺,哢,唹,啀,啣,啌,售,啜,啅,啖,啗,唸,唳,啝,喙,喀,咯,喊,喟,啻,啾,喘,喞,單,啼,喃,喩,喇,喨,嗚,嗅,嗟,嗄,嗜,嗤,嗔,嘔,嗷,嘖,嗾,嗽,嘛,嗹,噎,噐,嘴,嘶,嘲,嘸,噫,噤,嘯,噬,噪,嚆,嚀,嚊,嚠,嚔,嚏,嚥,嚮,嚶,嚴,囂,嚼,囁,囃,囀,囈,囎,囑,囓,嗇,另,叧,叵,吂,吓,吚,吡,吧,吨,吪,启,吱,吴,吵,呃,呄,呇,呍,呏,呞,呢,呤,呦,呧,呩,呫,呭,呮,呴,呿,咁,咃,咅,咈,咉,咍,咑,咕,咖,咜,咟,咡,咦,咧,咩,咪,咭,咮,咱,咷,咹,咺,咻,咿,哆,哊,响,哎,哠,哪,哬,哯,哶,哼,哾,哿,唀,唁,唅,唈,唉,唌,唍,唎,唕,唪,唫,唲,唵,唶,唻,唼,唽,啁,啇,啉,啊,啍,啐,啑,啘,啚,啛,啞,啠,啡,啤,啦,啿,喁,喂,喆,喈,喎,喏,喑,喒,喓,喔,喗,喣,喤,喭,喲,喿,嗁,嗃,嗆,嗉,嗋,嗌,嗎,嗑,嗒,嗓,嗗,嗘,嗛,嗞,嗢,嗩,嗶,嗿,嘅,嘈,嘊,嘍,嘎,嘏,嘐,嘑,嘒,嘙,嘬,嘰,嘳,嘵,嘷,嘹,嘻,嘼,嘽,嘿,噀,噁,噃,噄,噆,噉,噋,噍,噏,噔,噞,噠,噡,噢,噣,噦,噩,噭,噯,噱,噲,噵,嚄,嚅,嚈,嚋,嚌,嚕,嚙,嚚,嚝,嚞,嚟,嚦,嚧,嚨,嚩,嚫,嚬,嚭,嚱,嚳,嚷,嚾,囅,囉,囊,囋,囏,囐,囌,囍,𠮟,𠵅,𠷡,𠹤,𠹭,𠺕,𠽟,㕣,㕮,㖦,㖨,㗅,㗚,㗴,㘅,叴,吒,吞,吤,呕,呬,咊,咠,哃,哱,哳,啽,嗝,嘇,嘨,噇,噓,噶,嚲,喝,嘆,器",465
radical,38,女 (おんな),"娃,姶,姐,委,威,姻,姥,嬰,嫁,姦,嬉,妓,嫌,姑,娯,好,婚,妻,始,姉,姿,嫉,女,妾,娼,嬢,娠,姓,妥,嫡,嬬,妬,奴,如,妊,婆,媒,妃,姫,媛,婦,娩,妨,妹,妙,婿,娘,姪,妄,妖,婁,奸,妁,妝,侫,妣,妲,姆,姨,姜,妍,姙,姚,娥,娟,娑,娜,娉,娚,婀,婬,婉,娵,娶,婢,婪,媚,媼,媾,嫋,嫂,媽,嫣,嫗,嫦,嫩,嫖,嫺,嫻,嬌,嬋,嬖,嬲,嫐,嬪,嬶,嬾,孃,孅,孀,妛,奵,奶,她,奻,奼,妋,妌,妎,妒,妕,妗,妟,妤,妧,妭,妮,妯,妰,妳,妷,妺,妼,姁,姃,姄,姈,姊,姍,姒,姝,姞,姟,姣,姤,姧,姮,姯,姱,姲,姴,姷,娀,娄,娌,娍,娎,娒,娓,娞,娣,娤,娧,娨,娪,娭,娰,婄,婅,婇,婈,婌,婐,婕,婞,婣,婥,婧,婭,婷,婺,婻,婾,媋,媐,媓,媖,媙,媜,媞,媟,媠,媢,媧,媬,媱,媲,媳,媵,媸,媺,媻,媿,嫄,嫆,嫈,嫏,嫚,嫜,嫠,嫥,嫪,嫮,嫵,嫶,嫽,嬀,嬁,嬈,嬗,嬴,嬙,嬛,嬝,嬡,嬥,嬭,嬸,孁,孋,孌,𡚴,𡜆,𡝂,𡢽,㛏,姸,娗,媄,嫰",230
radical,170,阝左 (こざと),"阿,院,陰,隠,階,隔,陥,隅,隈,隙,険,限,降,際,阪,除,障,陣,随,阻,陀,隊,陳,陶,陪,阜,附,陛,防,陽,陸,隆,陵,隣,隋,隨,阡,阨,阮,阯,陂,陌,陏,陋,陷,陜,陞,陝,陟,陦,陲,陬,隍,隘,隕,隗,險,隧,隱,隲,隰,隴,阝,阞,阢,阤,阥,阦,阬,阱,阳,阷,阸,阹,阺,阼,阽,陁,陒,陔,陖,陗,陘,陡,陮,陴,陻,陼,陾,陿,隁,隂,隃,隄,隉,隑,隖,隚,隝,隟,隤,隥,隦,隩,隮,隯,隳,𨸟,𨸶,𨺉,𨻫,𨼲,䧧,阴,隆",115
radical,61,心/忄 (こころ),"愛,悪,惟,意,慰,悦,怨,応,憶,恩,快,怪,悔,恢,懐,慨,恰,患,感,慣,憾,忌,急,怯,恐,恭,愚,恵,慶,慧,憩,憲,懸,悟,恒,慌,忽,惚,恨,懇,惨,志,思,慈,悉,惹,愁,恕,情,心,慎,性,惜,惣,想,憎,息,惰,怠,態,恥,忠,懲,悌,怒,悼,憧,惇,忍,念,悩,悲,必,怖,憤,慕,忘,忙,慢,悶,愉,愈,悠,憂,慾,慮,怜,恋,憐,惑,忖,忻,忤,忸,忱,忝,悳,忿,怡,恠,怙,怐,怩,怎,怱,怛,怕,怫,怦,怏,怺,恚,恁,恪,恷,恟,恊,恆,恍,恣,恃,恤,恂,恬,恫,恙,悁,悍,惧,悃,悚,悄,悛,悖,悗,悒,悧,悋,惡,悸,惠,惓,悴,忰,悽,惆,悵,惘,慍,愕,愆,惶,惷,愀,惴,惺,愃,愡,惻,惱,愍,愎,慇,愾,愨,愧,慊,愿,愼,愬,愴,愽,慂,慄,慳,慷,慘,慙,慚,慫,慴,慯,慥,慱,慟,慝,慓,慵,憙,憖,憇,憬,憔,憚,憊,憑,憫,憮,懌,懊,應,懷,懈,懃,懆,憺,懋,懍,懦,懣,懶,懺,懴,懿,懽,懼,懾,戀,忄,忇,忈,忉,忋,忐,忑,忒,忓,忔,忞,忡,忢,忨,忩,忪,忬,忭,忮,忯,忲,忳,忶,忺,忼,怇,怊,怍,怓,怔,怗,怘,怚,怟,怤,怭,怳,怵,恀,恇,恈,恉,恌,恑,恔,恖,恗,恝,恡,恧,恱,恾,恿,悂,悆,悈,悊,悎,悑,悓,悕,悘,悝,悞,悢,悤,悥,您,悰,悱,悷,悻,悾,惂,惄,惈,惉,惊,惋,惎,惏,惔,惕,惙,惛,惝,惞,惢,惥,惲,惵,惸,惼,惽,愂,愇,愊,愌,愐,愑,愒,愓,愔,愖,愗,愙,愜,愞,愢,愪,愫,愰,愱,愵,愶,愷,愹,慁,慅,慆,慉,慞,慠,慬,慲,慸,慻,慼,慿,憀,憁,憃,憄,憋,憍,憒,憓,憗,憘,憜,憝,憟,憠,憥,憨,憪,憭,憸,憹,憼,懀,懁,懂,懎,懏,懕,懜,懝,懞,懟,懡,懢,懧,懩,懥,懬,懭,懯,戁,戃,戄,戇,𢛳,𢡛,𢢫,㣺,㤗,㤚,㥯,怢,惮,愺,懵,悔,慨,憎,懲",405
radical,64,手/扌 (て),"挨,握,扱,按,掩,援,押,拐,拡,撹,掛,括,換,揮,技,擬,掬,拒,拠,挙,挟,掘,掲,携,撃,拳,捲,抗,拘,控,拷,挫,才,採,搾,拶,撮,擦,捌,撒,指,持,捨,手,授,拾,承,抄,招,掌,捷,擾,拭,振,推,据,摺,拙,接,摂,折,撰,措,捜,掃,挿,掻,操,捉,揃,損,打,托,択,拓,担,探,抽,挑,捗,掴,抵,挺,提,摘,擢,撤,投,搭,撞,捺,捻,撚,把,播,拝,排,拍,抜,搬,挽,批,披,描,扶,撫,払,扮,捕,抱,捧,撲,摩,抹,摸,揖,揚,揺,擁,抑,掠,扎,扞,扣,扛,扠,扨,扼,抂,抉,找,抒,抓,抖,拔,抃,抔,拗,拑,抻,拏,拿,拆,擔,拈,拜,拌,拊,拂,拇,抛,拉,挌,拮,拱,挧,挂,挈,拯,拵,捐,挾,捍,搜,捏,掖,掎,掀,掫,捶,掣,掏,掉,掟,掵,捫,捩,掾,揩,揀,揆,揣,揉,插,揶,揄,搖,搴,搆,搓,搦,搶,攝,搗,搨,搏,摧,摯,摶,摎,攪,撕,撓,撥,撩,撈,撼,據,擒,擅,擇,撻,擘,擂,擱,擧,擠,擡,抬,擣,擯,攬,擶,擴,擲,擺,攀,擽,攘,攜,攅,攤,攣,攫,扌,扐,扑,扒,扔,扖,扚,扜,扤,扭,扯,扳,扺,扽,抍,抎,抏,抐,抦,抨,抳,抶,抷,抺,抾,抿,拄,拎,拕,拖,拚,拪,拲,拴,拼,拽,挃,挄,挊,挋,挍,挐,挓,挖,挘,挩,挪,挭,挵,挶,挹,挼,捁,捂,捃,捄,捆,捊,捋,捎,捒,捓,捔,捘,捛,捥,捦,捬,捭,捱,捴,捵,捸,捼,捽,捿,掂,掄,掇,掊,掐,掔,掕,掙,掚,掞,掤,掦,掭,掮,掯,掽,揁,揅,揈,揎,揑,揓,揔,揕,揜,揠,揥,揪,揬,揲,揳,揵,揸,揹,搉,搊,搐,搒,搔,搘,搞,搠,搢,搤,搥,搩,搪,搯,搰,搵,搽,搿,摋,摏,摑,摒,摓,摔,摚,摛,摜,摝,摟,摠,摡,摣,摭,摳,摴,摻,摽,撅,撇,撏,撐,撑,撘,撙,撛,撝,撟,撡,撣,撦,撨,撬,撳,撽,撾,撿,擄,擉,擊,擋,擌,擎,擐,擑,擕,擗,擤,擥,擩,擪,擭,擰,擵,擷,擻,擿,攁,攄,攈,攉,攊,攏,攓,攔,攖,攙,攛,攞,攟,攢,攦,攩,攮,𢪸,𢭆,𢭏,𢭐,𢮦,𢰝,𢰤,𢷡,㩮,㩳,扡,扻,抅,抙,挲,挻,捙,揫,揭,揷,摹",458
radical,162,辵/辶 (しんにょう),"逢,違,遺,逸,迂,運,遠,迦,過,還,逆,近,遇,迎,遣,込,遮,週,述,遵,進,迅,逗,遂,逝,選,遷,遡,送,遭,造,速,遜,退,逮,達,辿,遅,逐,追,通,辻,逓,適,迭,途,逃,透,道,遁,迩,這,迫,避,逼,辺,返,遍,迄,迷,遊,遥,遼,連,邃,辷,迚,迥,迢,迪,迯,邇,迴,逅,迹,迺,逑,逕,逡,逍,逞,逖,逋,逧,逶,逵,逹,迸,遏,遐,遑,遒,逎,遉,逾,遖,遘,遞,遨,遯,遶,遲,邂,遽,邁,邀,邊,邉,邏,遙,辵,辶,辸,达,迀,迁,迆,迊,迋,迍,运,迒,迓,迕,迠,迣,迤,迨,迮,迱,迵,迶,迻,迾,适,逄,逈,逌,逘,逛,逨,逩,逯,逪,逬,逭,逳,逴,逷,逿,遃,遄,遌,遛,遝,遢,遦,遧,遬,遰,遴,遹,邅,邈,邋,邌,邎,邐,𨑕,𨕫,𨗈,𨗉,﨤,辶,逸",175
radical,140,艸/艹 (くさ),"葵,茜,葦,芦,萎,茨,芋,蔭,蔚,荏,英,苑,薗,荻,花,苛,茄,荷,華,菓,芽,芥,蓋,葛,蒲,茅,萱,苅,莞,菊,蕎,芹,菌,苦,薫,茎,荊,芸,菰,荒,菜,薩,蒔,蔀,芝,蕊,若,蒐,薯,藷,菖,蒋,蕉,蒸,芯,薪,菅,薦,蘇,草,荘,葬,蒼,藻,蔵,苔,茸,蓄,茶,苧,著,蔦,菟,董,蕩,藤,萄,苫,薙,葱,芭,萩,薄,莫,藩,蕃,菱,苗,蒜,芙,葡,蕪,葺,蕗,蔽,蔑,菩,芳,萌,蓬,蔓,蓑,茂,蒙,薬,薮,葉,蓉,莱,落,藍,蘭,葎,苓,蓮,藁,蕨,蘗,蘖,蘯,艸,艾,芍,芒,芫,芟,芻,芬,苡,苣,苟,苒,苴,苳,苺,莓,范,苻,苹,苞,茆,苜,茉,苙,茵,茴,茖,茲,茱,荀,茹,荐,荅,茯,茫,茗,茘,莅,莚,莪,莟,莢,莖,茣,莎,莇,莊,荼,莵,荳,荵,莠,莉,莨,菴,萓,菫,菎,菽,萃,菘,萋,菁,菷,萇,菠,菲,萍,萢,萠,莽,萸,蔆,菻,葭,萪,萼,蕚,蒄,葷,葫,蒭,葮,蒂,葩,葆,萬,葯,葹,萵,蓊,葢,蒹,蒿,蒟,蓙,蓍,蒻,蓚,蓐,蓁,蓆,蓖,蒡,蔡,蓿,蓴,蔗,蔘,蔬,蔟,蔕,蔔,蓼,蕀,蕣,蕘,蕈,蕁,蘂,蕋,蕕,薀,薤,薈,薑,薊,薨,蕭,薔,薛,藪,薇,薜,蕷,蕾,薐,藉,薺,藏,薹,藐,藕,藝,藥,藜,藹,蘊,蘓,蘋,藾,藺,蘆,蘢,蘚,蘰,蘿,虁,艻,艽,艿,芀,芁,芃,芄,芇,芉,芊,芎,芑,芔,芖,芘,芚,芛,芠,芡,芣,芤,芧,芨,芩,芪,芮,芰,芲,芴,芷,芺,芼,芾,芿,苆,苐,苕,苚,苠,苢,苤,苨,苪,苭,苯,苶,苷,苽,苾,茀,茁,茇,茈,茊,茋,荔,茛,茝,茞,茟,茡,茢,茬,茭,茮,茰,茳,茷,茺,茼,茽,荂,荃,荄,荇,荍,荎,荑,荕,荖,荗,荰,荸,荽,荿,莀,莂,莄,莆,莍,莒,莔,莕,莘,莙,莛,莜,莝,莦,莧,莩,莬,莾,莿,菀,菇,菉,菏,菐,菑,菔,菝,荓,菨,菪,菶,菸,菹,菼,萁,萆,萊,萏,萑,萕,萙,莭,萯,萹,葅,葇,葈,葊,葍,葏,葑,葒,葖,葘,葙,葚,葜,葠,葤,葥,葧,葪,葰,葳,葴,葶,葸,葼,葽,蒁,蒅,蒒,蒓,蒕,蒞,蒦,蒨,蒩,蒪,蒯,蒱,蒴,蒺,蒽,蒾,蓀,蓂,蓇,蓈,蓌,蓏,蓓,蓜,蓧,蓪,蓯,蓰,蓱,蓲,蓷,蔲,蓺,蓻,蓽,蔂,蔃,蔇,蔌,蔎,蔐,蔜,蔞,蔢,蔣,蔤,蔥,蔧,蔪,蔫,蔯,蔳,蔴,蔶,蔿,蕆,蕏,蕐,蕑,蕒,蕓,蕖,蕙,蕜,蕝,蕞,蕟,蕠,蕡,蕢,蕤,蕫,蕯,蕹,蕺,蕻,蕽,蕿,薁,薅,薆,薉,薋,薌,薏,薓,薘,薝,薟,薠,薢,薥,薧,薴,薶,薷,薸,薼,薽,薾,薿,藂,藇,藊,藋,藎,薭,藘,藚,藟,藠,藦,藨,藭,藳,藶,藼,藿,蘀,蘄,蘅,蘍,蘎,蘐,蘑,蘒,蘘,蘙,蘛,蘞,蘡,蘧,蘩,蘶,蘸,蘺,蘼,蘽,虀,虂,虆,𦫿,𦰩,𦱳,𦳝,𦹀,𦹥,𦾔,𦿶,𦿷,𦿸,𧃴,𧄍,𧄹,䒑,䒳,䒾,䓔,䔈,䔍,䔥,䕃,艹,芓,茌,荢,荣,菡,菥,萗,葟,蒗,蓎,蔛,蔾,薰,藙,藡,蘤,蘹,﨟,蘒,艹,艹,著",617
radical,115,禾 (のぎ),"穐,移,稲,穎,穏,科,禾,稼,穫,稀,稽,稿,穀,私,種,秀,秋,称,穣,秦,税,積,租,稚,秩,程,禿,秤,秘,稗,秒,穂,穆,稔,稜,秉,秕,秧,秬,秡,秣,稈,稍,稘,稙,稠,稟,稱,稻,稾,稷,穃,穗,穉,穡,穢,穩,龝,穰,秂,秄,秇,秈,秊,秏,秔,秖,秚,秝,秞,秠,秢,秥,秪,秫,秭,秱,秸,秼,稂,稃,稇,稉,稊,稌,稑,稕,稛,稞,稡,稧,稫,稭,稯,稰,稴,稵,稸,稹,稺,穄,穅,穇,穈,穌,穕,穖,穙,穜,穝,穟,穠,穥,穧,穪,穭,𥝱,𥞩,𥞴,䅈,䅏,䅣,秌,种,穀",125
radical,85,水/氵 (みず),"渥,溢,淫,渦,浦,永,泳,洩,液,沿,演,汚,沖,温,河,海,涯,浬,潟,活,渇,滑,汗,漢,澗,潅,汽,求,汲,泣,渠,漁,況,沓,渓,激,決,潔,減,源,湖,江,洪,浩,港,溝,濠,漉,混,沙,済,滋,治,汐,湿,漆,洲,汁,渋,淑,淳,準,潤,渚,沼,消,渉,湘,浄,浸,深,水,澄,瀬,清,泉,浅,洗,潜,漸,漕,測,汰,泰,滞,滝,瀧,沢,濯,濁,淡,湛,池,注,瀦,潮,沈,津,漬,潰,汀,泥,滴,溺,添,澱,渡,淘,湯,涛,洞,涜,瀞,沌,灘,汝,濡,濃,波,派,泊,漠,溌,氾,汎,泌,氷,漂,浜,瀕,浮,淵,沸,法,泡,没,沫,満,漫,湊,滅,油,湧,涌,洋,溶,沃,浴,淀,洛,濫,流,溜,涼,淋,涙,漣,浪,漏,湾,汞,汕,汢,汪,沂,沍,沚,沁,沛,汾,汨,汳,沒,沐,泄,泱,泓,沽,泗,泅,泝,沮,沱,沾,沺,泛,泯,泙,泪,洟,洶,洫,洽,洸,洙,洵,洳,洒,洌,浣,涓,浤,浚,浹,浙,涎,涕,濤,涅,淹,渕,渊,涵,淇,淦,涸,淆,淬,淞,淌,淨,淒,淅,淺,淙,淤,淕,淪,淮,渭,湮,渮,渙,湲,湟,渾,渣,湫,渫,湶,湍,渟,湃,渺,湎,渤,滿,渝,游,溂,溪,溘,滉,溷,滓,溽,溯,滄,溲,滔,滕,溏,溥,滂,溟,潁,漑,灌,滬,滸,滾,漿,滲,漱,滯,漲,滌,漾,漓,滷,澆,潺,潸,澁,澀,潯,潛,濳,潭,澂,潼,潘,澎,澑,濂,潦,澳,澣,澡,澤,澹,濆,澪,濟,濕,濬,濔,濘,濱,濮,濛,瀉,瀋,濺,瀑,瀁,瀏,濾,瀛,瀚,潴,瀝,瀘,瀟,瀰,瀾,瀲,灑,灣,濶,氵,氶,氺,氻,氿,汊,汋,汍,汏,汒,汔,汙,汛,汜,汫,汭,汯,汴,汶,汸,汹,汻,沅,沆,沇,沉,沔,沕,沗,沘,沜,沟,沰,沲,沴,泂,泆,泍,泏,泐,泑,泒,泔,泖,泚,泜,泠,泧,泩,泫,泬,泮,泲,泴,洄,洇,洊,洎,洏,洑,洓,洚,洦,洧,洨,汧,洮,洯,洱,洹,洼,洿,浗,浞,浟,浡,浥,浧,浯,浰,浼,涂,涇,涑,涒,涔,涖,涗,涘,涪,涬,涴,涷,涹,涽,涿,淄,淈,淊,淎,淏,淖,淛,淝,淟,淠,淢,淥,淩,淯,淰,淴,淶,淼,渀,渄,渞,渢,渧,渲,渶,渹,渻,渼,湄,湅,湈,湉,湋,湏,湑,湒,湓,湔,湗,湜,湝,湞,湢,湣,湨,湳,湻,湽,溍,溓,溙,溠,溧,溭,溮,溱,溳,溻,溿,滀,滁,滃,滇,滈,滊,滍,滎,滏,滫,滭,滮,滹,滻,滽,漄,漈,漊,漌,漍,漖,漘,漚,漛,漦,漩,漪,漯,漰,漳,漶,漻,漼,漭,潏,潑,潒,潓,潗,潙,潚,潝,潞,潡,潢,潨,潬,潽,潾,澃,澇,澈,澋,澌,澍,澐,澒,澓,澔,澖,澚,澟,澠,澥,澦,澧,澨,澮,澯,澰,澵,澶,澼,濅,濇,濈,濊,濚,濞,濨,濩,濰,濵,濹,濼,濽,瀀,瀅,瀆,瀇,瀍,瀗,瀠,瀣,瀯,瀴,瀷,瀹,瀼,灃,灄,灈,灉,灊,灋,灔,灕,灝,灞,灎,灤,灥,𣱿,𣳾,𣴀,𣴎,𣵀,𣷓,𣷹,𣷺,𣽾,𤂖,𤄃,㳃,㳒,㴑,㴞,㵤,㶚,沄,沪,沭,泭,泻,洀,洤,洴,浘,浛,浠,涀,涁,涉,涊,涍,涫,涮,淂,淐,淚,渗,渴,湌,溫,溴,滙,漐,漥,漵,潠,澘,澾,濉,瀊,瀨,瀺,灇,灩,海,渚,漢",656
radical,72,日 (ひ),"旭,暗,易,映,旺,暇,晦,旧,暁,景,昂,晃,昏,昆,昨,晒,暫,旨,時,春,旬,暑,曙,昇,昌,昭,晶,晋,是,星,晴,昔,早,旦,暖,智,昼,暢,曇,日,曝,晩,普,暮,暴,昧,明,曜,暦,旱,昊,昃,旻,昵,昶,昴,昜,晏,晄,晉,晁,晞,晝,晤,晧,晨,晟,晢,晰,暃,暈,暎,暉,暄,暘,暝,曁,暹,曉,暾,暼,曄,暸,曖,曚,曠,昿,曦,曩,旰,旲,旴,旵,旹,旾,旿,昀,昄,昈,昉,昍,昑,昒,昕,昖,昝,昞,昡,昢,昣,昤,昦,昩,昪,昫,昬,昮,昰,昱,昳,昹,昷,晀,晅,晆,晊,晌,晑,晎,晗,晘,晙,晛,晜,晠,晡,曻,晪,晫,晬,晾,晳,晵,晿,晷,晸,晹,晻,暀,晼,暋,暌,暍,暐,暒,暙,暚,暛,暜,暟,暠,暤,暭,暱,暲,暵,暻,暿,曀,曂,曃,曈,曌,曎,曏,曔,曛,曟,曨,曫,曬,曮,𣆶,𣇃,𣇄,𣇵,㫖,㫗,㫪,㬎,㬚,㬜,㬢,旼,昺,晈,晚,晣,晥,晭,曆,暑",202
radical,195,魚 (うお),"鯵,鮎,鰯,鰻,鰍,鰹,魚,鯨,鯉,鮭,鯖,鮫,鮮,鯛,鱈,鰭,鮒,鮪,鱒,鱗,魯,鰐,魴,鮓,鮃,鮑,鮖,鮗,鮟,鮠,鮨,鮴,鯀,鯊,鮹,鯆,鯏,鯑,鯒,鯣,鯢,鯤,鯔,鯡,鰺,鯲,鯱,鯰,鰕,鰔,鰉,鰓,鰌,鰆,鰈,鰒,鰊,鰄,鰮,鰛,鰥,鰤,鰡,鰰,鱇,鰲,鱆,鰾,鱚,鱠,鱧,鱶,鱸,魛,魞,魡,魣,魥,魦,魨,魪,魫,魬,魭,魮,魳,魵,魷,魸,魹,魿,鮀,鮄,鮅,鮆,鮇,鮉,鮊,鮋,鮍,鮏,鮐,鮔,鮚,鮝,鮞,鮦,鮧,鮩,鮬,鮰,鮱,鮲,鮷,鮸,鮻,鮼,鮾,鮿,鯁,鯇,鯈,鯎,鯐,鯗,鯘,鯝,鯟,鯥,鯧,鯪,鯫,鯯,鯳,鯷,鯸,鯹,鯺,鯽,鯿,鰀,鰂,鰋,鰏,鰑,鰖,鰘,鰙,鰚,鰜,鰞,鰢,鰣,鰦,鰧,鰨,鰩,鰪,鰱,鰵,鰶,鰷,鰽,鱁,鱃,鱄,鱅,鱉,鱊,鱎,鱏,鱐,鱓,鱔,鱖,鱘,鱛,鱝,鱞,鱟,鱣,鱩,鱪,鱜,鱫,鱨,鱮,鱰,鱲,鱵,鱷,鱻,𩷛,𩸕,𩸽,𩹉,𩺊,𩻄,𩻛,𩻩,魲,魶,鯮,鰝,鱥,鱭,鱺",207
radical,75,木 (き),"梓,案,杏,椅,欝,栄,榎,横,桶,果,架,械,概,柿,格,核,楽,樫,橿,梶,椛,樺,株,栢,柑,桓,棺,机,棋,棄,機,桔,橘,杵,朽,橋,業,極,桐,櫛,栗,桑,桂,桁,検,権,枯,梧,檎,杭,校,梗,構,根,梱,査,栽,材,榊,柵,桜,札,桟,枝,柴,杓,朱,樹,柔,楯,松,梢,樟,樵,条,杖,植,森,榛,枢,杉,椙,棲,栖,析,栓,栴,染,楚,槍,槽,束,村,柁,楕,棚,樽,檀,柱,樗,椎,槌,栂,槻,柘,椿,梯,杜,東,桃,梼,棟,栃,橡,椴,楢,楠,杷,杯,梅,楳,柏,櫨,板,樋,枇,柊,桧,標,楓,柄,某,棒,朴,本,枚,槙,枕,柾,桝,末,未,椋,棉,模,木,杢,柳,柚,楊,様,来,欄,李,梨,梁,林,櫓,楼,榔,枠,椀,梦,杲,杳,朮,朿,朶,杁,朸,朷,杆,杞,杠,杙,杣,杤,枉,杰,枩,杼,杪,枌,枋,枦,枡,枅,枷,柯,枴,柬,枳,柩,枸,柤,柞,柝,柢,柮,枹,柎,柆,柧,檜,栞,框,栩,桀,桍,栲,桎,梳,栫,桙,档,桷,桿,梟,梏,梭,梔,條,梛,梃,檮,梹,桴,梵,梠,梺,椏,梍,桾,椁,棊,椈,棘,椢,椦,棡,椌,棍,棔,棧,棕,椶,椒,椄,棗,棣,椥,棹,棠,棯,椨,椪,椚,椣,椡,棆,楹,楷,楜,楸,楫,楔,楾,楮,椹,楴,椽,楙,椰,楡,楞,楝,榁,楪,榲,榮,槐,榿,槁,槓,榾,槎,槊,槝,榻,槃,榧,樮,榑,榠,榜,榕,榴,槞,槨,樂,樛,槿,權,槹,槲,槧,樅,榱,樞,槭,樔,槫,樊,樒,櫁,樣,樓,橄,樌,橲,樶,橸,橇,橢,橙,橦,橈,樸,樢,檐,檍,檠,檄,檢,檣,檗,檻,櫃,櫂,檸,檳,檬,櫞,櫑,櫟,檪,櫚,櫪,櫻,欅,櫺,欒,欖,欟,槇,朳,朾,杅,杇,杈,杌,杔,杕,杝,杦,杬,杮,杴,杶,杻,极,构,枎,枏,枑,枓,枖,枘,枙,枛,枰,枱,枲,枵,枻,枼,枽,柹,柀,柂,柃,柅,柈,柉,柒,柗,柙,柜,柡,柦,柰,柲,柶,柷,桒,栔,栙,栝,栟,栨,栧,栬,栭,栯,栰,栱,栳,栻,栿,桄,桅,桊,桌,桕,桗,桘,桛,桫,桮,桯,桰,桱,桲,桵,桹,桺,桻,桼,梂,梄,梆,梈,梖,梘,梚,梜,梡,梣,梥,梩,梪,梮,梲,梻,棅,棈,棌,棏,棐,棑,棓,棖,棙,棜,棝,棥,棨,棪,棫,棬,棭,棰,棱,棵,棶,棻,棼,棽,椆,椉,椊,椐,椑,椓,椖,椗,椱,椳,椵,椸,椻,楂,楅,楉,楎,楗,楛,楣,楤,楥,楦,楨,楩,楬,楰,楱,楲,楺,楻,楿,榀,榍,榒,榖,榘,榡,榥,榦,榨,榫,榭,榯,榷,榸,榺,榼,槅,槈,槑,槖,槗,槢,槥,槮,槯,槱,槳,槵,槾,樀,樁,樃,樏,樑,樕,樚,樝,樠,樤,樨,樰,樲,樴,樷,樻,樾,樿,橅,橆,橉,橊,橎,橐,橑,橒,橕,橖,橛,橤,橧,橪,橱,橳,橾,檁,檃,檆,檇,檉,檋,檑,檛,檝,檞,檟,檥,檫,檯,檰,檱,檴,檽,檾,檿,櫆,櫉,櫈,櫌,櫐,櫔,櫕,櫖,櫜,櫝,櫤,櫧,櫬,櫰,櫱,櫲,櫼,櫽,欂,欃,欆,欇,欉,欏,欐,欑,欗,欛,欞,𣏐,𣏒,𣏓,𣏕,𣏚,𣏟,𣏤,𣑊,𣑋,𣑑,𣑥,𣓤,𣕚,𣖔,𣗄,𣘸,𣘹,𣘺,𣙇,𣜌,𣜜,𣜿,𣝣,𣝤,𣟧,𣟿,𣠤,𣠽,㭭,㭷,㮇,㮈,㮍,㮤,㮶,㯃,㯍,㯰,㰏,杍,枒,柛,柼,栁,栐,栘,栾,桉,梐,梙,梫,梴,棃,棤,棷,椃,椇,楆,榰,槀,槏,槣,槩,槪,槴,槶,樳,橫,橺,檔,檡,櫳,欋,欄,﨓,﨔,梅",700
